AnalystService - Log: Time=05/19/2021 23:04:19, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:08:16, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:15:52, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:80/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:15:55, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:80/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:16:01, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:80/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:16:44, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:10, New threshold=37.5, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:12, New threshold=56.25, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:13, New threshold=84.375, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:14, New threshold=126.5625, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:16, New threshold=189.84375, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:18, New threshold=284.76562, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:22, New threshold=427.14844, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:21:29, New threshold=640.72266, New interval=2000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:26:33, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:54:12, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/19/2021 23:55:46, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/20/2021 00:03:59, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
AnalystService - Log: Time=05/20/2021 00:05:30, New threshold=25, New interval=5000 -> Sent to SensorService at uri http://host.docker.internal:5001/Sensor/threshold
